,Time,Comparisons,Exchanges
Quick,13709,6850,928
Quick,13375,6625,894
Quick,13500,6918,910
Quick,13750,6810,930
Quick,13667,6873,928
Quick,40292,6771,900
Quick,35208,7233,878
Quick,43583,6753,904
Quick,14667,6873,914
Quick,14833,7281,906
Quick,16000,6619,902
Quick,15291,7161,916
Quick,14041,7555,876
Quick,14375,7841,856
Quick,13958,6814,914
Quick,13583,6822,886
Quick,13334,7073,900
Quick,14083,6746,900
Quick,14000,6819,868
Quick,14041,7156,916
Quick,14041,7142,880
Quick,14042,7083,882
Quick,13750,7105,908
Quick,13792,7135,920
Quick,33542,6739,882
Quick,14041,6807,882
Quick,13333,6633,910
Quick,13542,7184,882
Quick,13167,6850,910
Quick,13875,6769,892
Quick,13792,6811,930
Quick,14041,7092,874
Quick,13417,6856,894
,,,
,,,
Merge,115667,9788,0
Merge,75750,9787,0
Merge,64750,9797,0
Merge,62625,9774,0
Merge,71125,9784,0
Merge,61875,9787,0
Merge,59333,9798,0
Merge,170625,9778,0
Merge,191583,9774,0
Merge,68583,9787,0
Merge,58542,9792,0
Merge,57792,9798,0
Merge,57625,9778,0
Merge,62541,9800,0
Merge,59333,9789,0
Merge,150833,9788,0
Merge,58417,9784,0
Merge,75042,9772,0
Merge,66667,9788,0
Merge,406625,9781,0
Merge,175875,9785,0
Merge,144708,9789,0
Merge,195584,9794,0
Merge,73292,9780,0
Merge,61292,9786,0
Merge,61292,9791,0
Merge,60625,9780,0
Merge,61292,9784,0
Merge,60375,9781,0
Merge,59208,9779,0
Merge,59041,9799,0
Merge,58333,9789,0
Merge,66500,9783,0
Merge,60958,9776,0
Merge,61875,9786,0
Merge,145333,9787,0
Merge,74792,9786,0
Merge,63042,9788,0
Merge,61125,9784,0
Merge,59500,9782,0
Merge,61625,9799,0
Merge,68625,9783,0
Merge,62250,9774,0
Merge,62334,9780,0
Merge,60250,9797,0
Merge,67875,9791,0
Merge,58500,9780,0
Merge,123750,9792,0
Merge,198834,9784,0
Merge,82416,9776,0
Merge,67000,9787,0
Merge,61750,9767,0
Merge,60834,9784,0
Merge,161250,9783,0
Merge,76542,9782,0
Merge,68042,9781,0
Merge,61042,9775,0
Merge,61250,9794,0
Merge,61250,9788,0
Merge,59875,9786,0
Merge,61125,9782,0
Merge,59625,9775,0
Merge,144625,9773,0
Merge,132375,9793,0
Merge,65209,9795,0
Merge,59667,9788,0
Merge,79125,9786,0
Merge,58875,9781,0
Merge,66042,9788,0
Merge,62875,9789,0
Merge,61458,9777,0
Merge,60583,9784,0
Merge,60583,9782,0
Merge,58083,9772,0
Merge,58792,9797,0
Merge,58667,9774,0
Merge,60125,9785,0
Merge,2730334,9793,0
Merge,188250,9783,0
Merge,126958,9790,0
Merge,123208,9780,0
Merge,76542,9773,0
Merge,62417,9773,0
Merge,61708,9779,0
Merge,58375,9792,0
Merge,58250,9794,0
Merge,193250,9793,0
Merge,203541,9791,0
Merge,141833,9795,0
Merge,160208,9788,0
Merge,401333,9780,0
Merge,208459,9779,0
Merge,151291,9772,0
Merge,136750,9773,0
Merge,285250,9778,0
Merge,133666,9779,0
Merge,77875,9778,0
Merge,73125,9794,0
Merge,77458,9786,0
Merge,63958,9768,0
,,,
,,,
,,,
arr size: 512,,,
Insertion,118000,131839,129036
Insertion,79708,131839,126888
Insertion,80792,131839,134764
Insertion,79042,131839,123658
Insertion,79750,131839,130880
Insertion,196542,131839,133386
Insertion,190167,131839,131968
Insertion,473625,131839,127474
Insertion,159333,131839,132620
Insertion,159958,131839,131904
Insertion,168000,131839,127814
Insertion,172750,131839,130670
Insertion,231875,131839,134908
Insertion,504584,131839,133014
Insertion,81333,131839,134640
Insertion,80625,131839,135218
Insertion,79375,131839,129794
Insertion,78042,131839,124272
Insertion,80000,131839,134308
Insertion,78875,131839,128040
Insertion,78750,131839,128416
Insertion,79125,131839,129418
Insertion,79042,131839,129696
Insertion,78917,131839,129704
Insertion,79084,131839,129224
Insertion,81292,131839,131846
Insertion,79042,131839,129478
Insertion,79708,131839,133352
Insertion,79125,131839,130696
Insertion,79167,131839,129288
Insertion,171166,131839,130778
Insertion,501875,131839,135170
Insertion,79625,131839,132690
Insertion,186833,131839,133266
Insertion,79875,131839,133380
Insertion,79500,131839,132508
Insertion,187167,131839,130618
Insertion,115833,131839,125862
Insertion,80500,131839,130446
Insertion,96459,131839,131560
Insertion,79125,131839,128624
Insertion,81000,131839,130542
Insertion,79042,131839,127518
Insertion,78625,131839,125656
Insertion,79875,131839,133440
Insertion,79625,131839,131416
Insertion,78708,131839,127736
Insertion,78333,131839,126248
Insertion,78709,131839,125698
Insertion,79542,131839,131460
Insertion,78666,131839,127878
Insertion,81375,131839,134040
Insertion,79083,131839,129820
Insertion,79958,131839,131532
Insertion,79708,131839,130702
Insertion,81208,131839,127514
Insertion,696917,131839,126720
Insertion,80042,131839,128226
Insertion,79666,131839,131826
Insertion,80291,131839,135132
Insertion,80000,131839,134704
Insertion,79208,131839,130638
Insertion,80000,131839,134316
Insertion,78083,131839,125476
Insertion,266792,131839,128212
Insertion,192125,131839,131468
Insertion,163250,131839,133474
Insertion,157667,131839,129588
Insertion,154875,131839,124484
Insertion,125750,131839,131190
Insertion,80208,131839,133432
Insertion,79458,131839,130890
Insertion,83917,131839,131472
Insertion,79417,131839,132102
Insertion,78625,131839,127508
Insertion,78875,131839,129500
Insertion,81750,131839,133560
Insertion,79417,131839,129414
Insertion,78667,131839,127158
Insertion,78584,131839,124758
Insertion,80250,131839,131836
Insertion,81000,131839,126068
Insertion,79583,131839,128184
Insertion,81000,131839,134022
Insertion,78666,131839,124858
Insertion,78791,131839,130030
Insertion,78708,131839,128194
Insertion,79916,131839,134000
Insertion,79042,131839,130436
Insertion,79542,131839,130022
Insertion,78542,131839,127652
Insertion,78459,131839,125764
Insertion,80000,131839,132484
Insertion,78917,131839,127854
Insertion,79584,131839,129578
Insertion,79250,131839,128916
Insertion,80750,131839,128508
Insertion,78583,131839,127084
Insertion,102292,131839,134270
Insertion,80125,131839,134342
,,,
,,,
Quick,33542,15700,2072
Quick,29750,14856,2054
Quick,31208,15744,1982
Quick,30125,15133,2088
Quick,89375,15973,1942
Quick,34750,15211,2094
Quick,31000,15167,2072
Quick,29917,15361,2016
Quick,56417,15644,2046
Quick,31709,17743,2044
Quick,30375,15121,2040
Quick,39916,15745,2016
Quick,29875,15428,2070
Quick,30250,16534,2000
Quick,30250,15805,2014
Quick,73417,15975,2036
Quick,78125,15154,2114
Quick,71166,16946,2018
Quick,85541,15966,2072
Quick,36750,15944,2034
Quick,30750,15574,2046
Quick,32042,18208,1956
Quick,30833,14812,2070
Quick,30209,16440,2054
Quick,30166,16084,2064
Quick,30042,15470,2050
Quick,29917,15158,2106
Quick,29167,15668,2028
Quick,29750,15428,2072
Quick,29208,15259,2040
Quick,29917,15571,2056
Quick,68958,15606,2052
Quick,33250,15822,2054
Quick,108125,15443,2082
Quick,87041,15462,2042
Quick,220083,16283,2032
Quick,32417,14965,2072
Quick,31542,16101,2056
Quick,31083,16223,2076
Quick,54375,16119,2076
Quick,73041,16320,1994
Quick,68916,15765,2050
Quick,99417,16340,2006
Quick,29459,15483,2062
Quick,30459,16477,2006
Quick,31209,16699,2038
Quick,29750,15012,2062
Quick,28792,15393,2052
Quick,50209,15691,2008
Quick,28791,15064,2034
Quick,29750,16164,2024
Quick,30208,15837,2068
Quick,29542,15712,2046
Quick,28500,15297,2026
Quick,29500,15749,1976
Quick,29292,15518,2056
Quick,29208,15017,2016
Quick,31875,16402,2034
Quick,65625,15386,2032
Quick,29625,15450,2080
Quick,42667,16231,2100
Quick,29834,16596,1996
Quick,29541,15495,2050
Quick,29125,15145,2062
Quick,32917,15289,2068
Quick,30167,15215,2080
Quick,52667,15156,2052
Quick,97833,16891,1992
Quick,106458,16354,2010
Quick,68083,15853,1984
Quick,31458,15877,2098
Quick,29834,15940,1992
Quick,30083,15468,2010
Quick,29583,15813,2014
Quick,38667,15262,2054
Quick,29416,14868,2070
Quick,29917,15560,2104
Quick,34916,16258,2034
Quick,29833,15337,2050
Quick,29542,15009,2032
Quick,33958,15790,2028
Quick,29583,15461,2098
Quick,30292,16405,2012
Quick,37458,15357,2104
Quick,29250,15264,2052
Quick,30125,15179,2026
Quick,30542,16531,2040
Quick,29458,15400,2030
Quick,29000,15531,2006
Quick,30375,16272,2024
Quick,29416,15238,2052
Quick,30250,15395,2068
Quick,29916,15322,2054
Quick,29459,15245,2106
Quick,30333,16222,2014
Quick,29792,15458,2088
Quick,30917,17647,2004
Quick,30708,16264,2084
Quick,29583,15309,2020
Quick,29875,15796,2060
,,,
,,,
Merge,174167,21631,0
Merge,122500,21636,0
Merge,717042,21605,0
Merge,398958,21615,0
Merge,399167,21616,0
Merge,224625,21623,0
Merge,168750,21626,0
Merge,255917,21647,0
Merge,149583,21629,0
Merge,124000,21632,0
Merge,133125,21631,0
Merge,125667,21628,0
Merge,118583,21636,0
Merge,138125,21639,0
Merge,116667,21607,0
Merge,139250,21632,0
Merge,118584,21648,0
Merge,121125,21631,0
Merge,309750,21653,0
Merge,284542,21603,0
Merge,132916,21624,0
Merge,137916,21624,0
Merge,131917,21643,0
Merge,132250,21619,0
Merge,517167,21608,0
Merge,1290333,21604,0
Merge,656708,21624,0
Merge,462459,21596,0
Merge,650333,21616,0
Merge,346458,21607,0
Merge,182708,21599,0
Merge,201666,21635,0
Merge,2410000,21606,0
Merge,153291,21633,0
Merge,123041,21630,0
Merge,120375,21594,0
Merge,120500,21625,0
Merge,129042,21639,0
Merge,114000,21613,0
Merge,114541,21621,0
Merge,120666,21635,0
Merge,135917,21617,0
Merge,131875,21639,0
Merge,171583,21611,0
Merge,136750,21624,0
Merge,126292,21625,0
Merge,121625,21602,0
Merge,125292,21620,0
Merge,123291,21623,0
Merge,121208,21614,0
Merge,120917,21648,0
Merge,124250,21607,0
Merge,116250,21625,0
Merge,106250,21631,0
Merge,113458,21632,0
Merge,115375,21612,0
Merge,151000,21624,0
Merge,136458,21647,0
Merge,120625,21617,0
Merge,117208,21634,0
Merge,122750,21617,0
Merge,117375,21616,0
Merge,114125,21636,0
Merge,117042,21608,0
Merge,123500,21625,0
Merge,154375,21627,0
Merge,117750,21622,0
Merge,223334,21642,0
Merge,250833,21629,0
Merge,118583,21616,0
Merge,118625,21641,0
Merge,115458,21647,0
Merge,113541,21629,0
Merge,158583,21623,0
Merge,139375,21635,0
Merge,145458,21633,0
Merge,176583,21644,0
Merge,119125,21609,0
Merge,148584,21636,0
Merge,119125,21612,0
Merge,118583,21628,0
Merge,112625,21607,0
Merge,166708,21636,0
Merge,214958,21609,0
Merge,114167,21643,0
Merge,113916,21626,0
Merge,112208,21612,0
Merge,120709,21648,0
Merge,113000,21619,0
Merge,114667,21638,0
Merge,114292,21624,0
Merge,146958,21611,0
Merge,121958,21612,0
Merge,194000,21620,0
Merge,121459,21617,0
Merge,116417,21630,0
Merge,118417,21635,0
Merge,115709,21612,0
Merge,118542,21616,0
Merge,113625,21621,0
,,,
,,,
,,,
arr size: 1024,,,
Insertion,422417,525823,531226
Insertion,576875,525823,531608
Insertion,669291,525823,537200
Insertion,1514042,525823,523806
Insertion,300458,525823,528012
Insertion,296250,525823,511886
Insertion,297750,525823,523624
Insertion,1059250,525823,522208
Insertion,685625,525823,531280
Insertion,409000,525823,536958
Insertion,296792,525823,507884
Insertion,301708,525823,525292
Insertion,301833,525823,521668
Insertion,551584,525823,516772
Insertion,417959,525823,524256
Insertion,304625,525823,521388
Insertion,302625,525823,522816
Insertion,298541,525823,517926
Insertion,297375,525823,518646
Insertion,625000,525823,528462
Insertion,736125,525823,527360
Insertion,377125,525823,517926
Insertion,302042,525823,538648
Insertion,301583,525823,536308
Insertion,353208,525823,525458
Insertion,399459,525823,520426
Insertion,329083,525823,519782
Insertion,299541,525823,526132
Insertion,541625,525823,532212
Insertion,298916,525823,521000
Insertion,326250,525823,531450
Insertion,298833,525823,526638
Insertion,962291,525823,520554
Insertion,298958,525823,519002
Insertion,838708,525823,531694
Insertion,300875,525823,526650
Insertion,924209,525823,525788
Insertion,496625,525823,527456
Insertion,456875,525823,513890
Insertion,300208,525823,522744
Insertion,301792,525823,540296
Insertion,548375,525823,516562
Insertion,505667,525823,527590
Insertion,301375,525823,529156
Insertion,298500,525823,523880
Insertion,480042,525823,525860
Insertion,719208,525823,523966
Insertion,676417,525823,527620
Insertion,297875,525823,519194
Insertion,300708,525823,531126
Insertion,300500,525823,530782
Insertion,519875,525823,514488
Insertion,301667,525823,527168
Insertion,304542,525823,537196
Insertion,704084,525823,522572
Insertion,918375,525823,511662
Insertion,597625,525823,506876
Insertion,878833,525823,528732
Insertion,607542,525823,510138
Insertion,334333,525823,496852
Insertion,440125,525823,518940
Insertion,297750,525823,521128
Insertion,299791,525823,532596
Insertion,309708,525823,524484
Insertion,939167,525823,523160
Insertion,301792,525823,525808
Insertion,300750,525823,534482
Insertion,329167,525823,516134
Insertion,306000,525823,532852
Insertion,308083,525823,542060
Insertion,302875,525823,520506
Insertion,354500,525823,515832
Insertion,298708,525823,518298
Insertion,548833,525823,528320
Insertion,669625,525823,520376
Insertion,299625,525823,524772
Insertion,297333,525823,515440
Insertion,300458,525823,525728
Insertion,301791,525823,514986
Insertion,326750,525823,528388
Insertion,815041,525823,527990
Insertion,303625,525823,536470
Insertion,297084,525823,508568
Insertion,305500,525823,531854
Insertion,415834,525823,528934
Insertion,537667,525823,531352
Insertion,301041,525823,525126
Insertion,295042,525823,498264
Insertion,335084,525823,505070
Insertion,314541,525823,536156
Insertion,386000,525823,528570
Insertion,1068833,525823,524608
Insertion,303625,525823,524514
Insertion,298917,525823,517442
Insertion,295208,525823,506920
Insertion,298250,525823,516548
Insertion,557041,525823,535426
Insertion,589583,525823,515958
Insertion,307500,525823,546914
Insertion,510500,525823,523588
,,,
,,,
Quick,166417,35311,4626
Quick,55500,36288,4458
Quick,46209,34987,4540
Quick,45750,34707,4474
Quick,45416,35211,4532
Quick,44333,36710,4412
Quick,45875,35636,4582
Quick,45333,36615,4610
Quick,45667,34718,4592
Quick,45250,35589,4614
Quick,44917,35601,4494
Quick,44834,34048,4620
Quick,44292,34869,4514
Quick,44292,34527,4592
Quick,44917,36711,4540
Quick,45208,37163,4504
Quick,44042,38333,4444
Quick,44166,34593,4530
Quick,45291,35899,4564
Quick,44583,35661,4576
Quick,44709,35392,4494
Quick,45083,36007,4502
Quick,44708,34831,4598
Quick,44541,36781,4476
Quick,153542,34572,4560
Quick,108416,36171,4604
Quick,777958,35057,4580
Quick,46292,35804,4474
Quick,46125,36124,4568
Quick,46709,37494,4468
Quick,45209,35731,4508
Quick,45708,35410,4452
Quick,44708,34884,4496
Quick,44791,36021,4612
Quick,45334,36280,4552
Quick,44542,35169,4562
Quick,45666,38199,4560
Quick,44917,34251,4624
Quick,46083,37694,4444
Quick,46167,37271,4536
Quick,45542,35423,4576
Quick,44333,34419,4588
Quick,44291,33714,4576
Quick,112125,36379,4572
Quick,149875,36059,4658
Quick,311167,34500,4660
Quick,95583,34789,4630
Quick,79542,35271,4544
Quick,47916,36766,4516
Quick,47292,34335,4676
Quick,45542,36786,4450
Quick,46042,34397,4636
Quick,47792,42234,4442
Quick,126792,34518,4666
Quick,117708,35389,4548
Quick,112291,34648,4582
Quick,46167,35108,4578
Quick,44708,34179,4630
Quick,44750,37325,4390
Quick,45709,36365,4444
Quick,45000,36671,4510
Quick,45042,35914,4546
Quick,44708,34161,4688
Quick,44750,36121,4528
Quick,46291,39426,4506
Quick,45833,37854,4468
Quick,44750,35791,4528
Quick,45334,36878,4496
Quick,45167,34682,4588
Quick,45125,36339,4524
Quick,44958,35934,4620
Quick,96667,35794,4564
Quick,49083,34378,4574
Quick,47041,33511,4604
Quick,47250,36440,4520
Quick,46667,34431,4730
Quick,46042,34174,4574
Quick,46334,36189,4564
Quick,46875,36155,4568
Quick,45250,34166,4692
Quick,45542,34261,4590
Quick,44500,37625,4450
Quick,45959,38059,4470
Quick,44916,35687,4472
Quick,46209,35856,4622
Quick,46167,35595,4736
Quick,45542,34911,4644
Quick,44500,34991,4618
Quick,44250,34691,4630
Quick,44667,34290,4646
Quick,44750,34697,4566
Quick,44083,33590,4602
Quick,44459,36244,4596
Quick,44417,34618,4624
Quick,45125,35174,4600
Quick,44458,34791,4622
Quick,44042,34038,4562
Quick,44750,35623,4604
Quick,43959,36063,4604
Quick,44000,35993,4538
,,,
,,,
Merge,340833,47603,0
Merge,272750,47573,0
Merge,322458,47591,0
Merge,226167,47539,0
Merge,208750,47545,0
Merge,282959,47553,0
Merge,211250,47540,0
Merge,209083,47555,0
Merge,204500,47529,0
Merge,201333,47538,0
Merge,200750,47532,0
Merge,203458,47531,0
Merge,202666,47571,0
Merge,258542,47514,0
Merge,199083,47550,0
Merge,215000,47600,0
Merge,4905583,47551,0
Merge,700375,47347,0
Merge,233917,47567,0
Merge,360791,47519,0
Merge,228000,47526,0
Merge,215500,47542,0
Merge,497250,47542,0
Merge,495667,47526,0
Merge,233042,47458,0
Merge,220500,47548,0
Merge,214625,47486,0
Merge,207417,47532,0
Merge,213667,47576,0
Merge,224000,47509,0
Merge,246583,47538,0
Merge,312417,47571,0
Merge,211000,47507,0
Merge,223583,47558,0
Merge,294333,47518,0
Merge,214708,47483,0
Merge,261125,47552,0
Merge,376250,47508,0
Merge,255875,47340,0
Merge,206750,47531,0
Merge,206916,47563,0
Merge,248667,47538,0
Merge,307041,47548,0
Merge,212834,47506,0
Merge,1123667,47523,0
Merge,428708,47504,0
Merge,253708,47524,0
Merge,223750,47541,0
Merge,238541,47565,0
Merge,688667,47376,0
Merge,290250,47552,0
Merge,336125,47563,0
Merge,217708,47535,0
Merge,224750,47532,0
Merge,216666,47559,0
Merge,488667,47606,0
Merge,427000,47521,0
Merge,262375,47542,0
Merge,226542,47521,0
Merge,699125,47557,0
Merge,557375,47533,0
Merge,971792,47537,0
Merge,235834,47569,0
Merge,208250,47537,0
Merge,195584,47564,0
Merge,252250,47588,0
Merge,212458,47517,0
Merge,247875,47521,0
Merge,306667,47542,0
Merge,293000,47515,0
Merge,321792,47536,0
Merge,219375,47435,0
Merge,448125,47388,0
Merge,471292,47349,0
Merge,656458,47536,0
Merge,353959,47361,0
Merge,387208,47559,0
Merge,328584,47522,0
Merge,218917,47563,0
Merge,425666,47542,0
Merge,380209,47544,0
Merge,316834,47540,0
Merge,206542,47531,0
Merge,216083,47521,0
Merge,282292,47550,0
Merge,259667,47512,0
Merge,311791,47524,0
Merge,2130542,47545,0
Merge,836958,47366,0
Merge,309916,47554,0
Merge,692000,47545,0
Merge,221875,47562,0
Merge,373459,47543,0
Merge,284625,47564,0
Merge,197208,47564,0
Merge,200292,47476,0
Merge,198791,47515,0
Merge,216875,47542,0
Merge,256125,47491,0
Merge,210666,47492,0